_id,Project,Province,District,Municipality,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Longitude,Latitude,License Type
125,Ilep Tatopani Khola HPP,Province 3,DHADING,Rubi Valley,25.0,Tatopani(Ilep) Khola,708,2072-09-03,2075-09-02,Jalshakti Hydro companu Pvt Ltd,"Ward -11, Babarmahal, Kathmandu",85.07152778,28.21458333,Survey
126,Indrawati -III,Province 3,SINDHUPALCHOK,Panchpokhari Thangpal,7.5,Indrawati Khola,7,2054-11-14,2104-09-29,National Hydropower Company Pvt. Ltd.,0,85.605,27.87402778,Operation
127,Irkhuwa Khola Ka HPP,Province 1,BHOJPUR,Salpasilichho,14.1,Irkhuwa Khola,731,2073-03-24,2075-03-23,Estern Hydropower Pvt.Ltd.,"P.O.no.26153,Baluwatar,kathmandu 4432068,4227406,9841254097",86.99722222,27.39791667,Survey
128,Irkhuwa Khola-B HPP,Province 1,SANKHUWASABHA,Chichila,15.524,Irkhuwa Khola,222,2074-11-03,2109-11-02,Barah Multi Power Pvt Ltd,"House No 171/16 Anamnagar, Gautam Buddha MargaKathmandu , Tel : 4255190, email info@barahamultipower.com",87.08166667,27.40875,Generation
129,Istul Khola HPP,Province 4,GORKHA,Sulikot,1.506,Istul,210,2074-08-14,2109-08-13,Amar Jyoti Hydropower Pvt Ltd,"Man Bhavan , Lalitpur -20, PO- 134,Tel: 01-5552175",84.75833333,28.08486111,Generation
130,Isuwa Khola Hydropower Project,Province 1,SANKHUWASABHA,Makalu,97.2,Isuwa Khola,697,2071-11-04,2075-11-03,Dolakha Nirman Company Pvt. Ltd.,"Biratnagar -13, Morang,Nepal 021472227",87.21569444,27.59208333,Survey
131,Iwa Khola,Province 1,TAPLEJUNG,Sirijangha,9.9,Iwa Khola,139,2072-03-28,2107-03-27,Rairang Hydropower Development Co Ltd,"Trade Tower Building, Thapathali ,Katmandu Tel no 01 5111015",87.84986111,27.28194444,Generation
132,Jagdulla HEP,Province 6,JAJARKOT,Tribeni Nalagad,307.0,Bheri,862,2074-03-18,2076-03-17,Jagdulla Hydropower Company Limited,"Thapagaun, Kathmandu",82.57111111,29.06819444,Survey
133,Jaldigad,Province 6,JAJARKOT,Tribeni Nalagad,21.0,Jaldi Gad,786,2073-11-20,2075-11-19,Shangrila Hydropower Pvt. Ltd.,"Sinamangal-9, Kathmandu, Phone no 98510265131",82.45694444,28.82916667,Survey
135,Jeuli-Gad Cascade Hydroelectric Project,Province 7,BAJHANG,Talkot,2.0,Jeuli Gad,875,2074-04-15,2076-04-14,Shurma Bhagwati Developers Pvt. Ltd.,"Dhangadhi Sub-Metropolitan-4, Kailai, Mo. 9858423199 (Mrs. Laxmi Bhatta)",81.17847222,29.56791667,Survey
136,Jhakre-2 Mini HPP,Province 3,DOLAKHA,Gaurishankar,0.4,Jhakre Khola,0,2074-07-01,2076-06-30,Khimti Gramin Bidhyut Sahakari Sanstha Limited,"Shahare -4, Kirne ,Dolakha",86.17277778,27.57097222,Survey
138,Jhimruk Aglung HPP,Province 4,BAGLUNG,Nisikhola,1.5,Jhimruk,747,2073-07-05,2075-07-04,Aglung Hydropower Company P.Ltd.,"Sandhikhark, Arghakhanchi.9851095535,9841439122",83.02847222,28.24444444,Survey
139,Jhimruk Khola,Province 5,PYUTHAN,Mandavi,12.5,Jhimruk,3_gtd,2052-01-25,2101-12-30,Butwal Power Company,0,82.80986111,28.07333333,Operation
141,Jiri Khola SHP,Province 3,RAMECHHAP,Gokulganga,2.4,Jiri Khola,42,2067-11-17,2102-11-16,Bojini Company (P.) Ltd,"Buddhanagar, Kathmandu. G.P.O Box: 8974, 4783532,4782765",86.22833333,27.59875,Operation
142,Jogmai Cascade,Province 1,ILAM,Suryodaya,6.0,Jogmai Khola,686,2071-06-22,2075-06-21,Sanvi Energy Pvt. Ltd.,"Kupondole, Lalitpur. PO Box: 9875 EPC 3141",88.00819444,26.90541667,Survey
143,Jogmai Khola,Province 1,ILAM,Maijogmai,7.6,Jogmai Khola,86,2069-12-29,2104-12-28,Sanvi Energy Pvt. Ltd.,"G.P. O. Box 8975, EPC 1341 KTM , Pulchok Lalitpur, Phone 5532860",88.03736111,26.91722222,Operation
144,Jum Khola Hydropower Project,Province 3,DOLAKHA,Bigu,62.0,Jum,711,2072-09-09,2075-09-08,Sanima Hydropower Prvt Ltd,"Nagpokhari Naxal, Tel. 4446442",86.23152778,27.95875,Survey
145,Jumdi Khola Small,Province 5,GULMI,Kaligandaki,1.75,Jumdi,52,2068-07-07,2103-07-06,"Jumdi Hydropower Pvt. Ltd.,","Old Baneshwor, Kathmandu-34, Mobile: 9841662955",83.45222222,28.03458333,Generation
146,Junbeshi,Province 1,SOLUKHUMBU,Solududhakunda,5.2,Junbeshi,80,2069-09-20,2104-09-19,Dobhan Hydropower Pvt.Ltd.,"Tinkune, Koteswor, Kathmandu, P.O.Box 23746, Phone 01-4486911",86.55958333,27.56986111,Generation
147,Junbesi Small,Province 1,SOLUKHUMBU,Solududhakunda,0.964,Junbesi Khola,0,2074-02-07,2076-02-06,samiran Rai,"Basikhora 1, Bhojpur, 9851155780",86.57541667,27.55375,Survey
148,Jurimba Khola Small Hydropower Project,Province 3,SINDHUPALCHOK,Bhotekoshi,9.824,Jurimba,683,2071-04-15,2075-04-14,Jurimba Hydropower Company Pvt. Ltd,"Minbhawan, Kathmandu",85.90611111,27.91472222,Survey
149,Kabeli B - 1,Province 1,TAPLEJUNG,Yangwarak,25.0,Kabeli Khola,98,2070-03-28,2105-03-27,Arun Kabeli Power Limited.,"Baneshwor, Ktm, P.O. Box: 11039, Ph: 01-4109801, 4475234, Fax: 4474895",87.80972222,27.28,Generation
150,Kabeli B1 Cascade HPP,Province 1,PANCHTHAR,Yangwarak,9.94,Kabeli Khola,732,2073-04-05,2075-04-04,Arun Valley Hydropower Development Company Ltd.,"Trade Tower Nepal, 2 nd floor,Thapathali, Kathmandu",87.77375,27.27388889,Survey
151,Kabeli-3 HEP,Province 1,TAPLEJUNG,Sirijangha,21.93,Kabeli,933,2074-07-20,2076-07-19,Kabeli Hydropower Company Pvt. Ltd,"kathmandu-28, 9851030667, GPO Box 24311",87.86972222,27.39013889,Survey
152,Kabeli-A,Province 1,TAPLEJUNG,Sirijangha,37.6,Kabeli Khola,70,2069-05-21,2104-05-20,Kabeli Energy Limited,"Budhanagar, GPO Box: 11728, Kathmandu Tel: 4781776",87.72291667,27.26013889,Generation
153,Kalanga,Province 7,BAJHANG,Bungal,15.33,Kalanga Gad,151,2072-12-14,2107-12-13,Kalanga Hydropower P Ltd,"Sukedhara, Kathmandu, Po. Box. No. 21399, Phone No. 01-4116052, 01-4116053, Email: info.kghep@gmail.com",80.87916667,29.54069444,Generation
154,Kali Gandaki A,Province 5,PALPA,Tansen,144.0,Kali Gandaki,4,2053-07-21,2101-11-30,Nepal Electricity Authority,0,83.52944444,27.96555556,Operation
156,Kaligandaki Upper,Province 4,MYAGDI,Annapurna,65.0,Kali Gandaki,220,2074-10-24,2109-10-23,Tradelink Global P. Ltd,"PO. Box no. 5771, Babarmahal, Kathmandu, Tel No. 4244408",83.59333333,28.40472222,Generation
157,Kaligandki Gorge,Province 4,MYAGDI,Annapurna,164.0,Kali Gandaki,264,2063-09-23,2075-05-22,NECT-HYM JV,"P.O.Box 7061, Phone - 014487460",83.64375,28.5625,Survey
158,Kalika Kaligandaki HEP,Province 4,NAWALPARASI_E,Gaidakot,49.5,Kali Gandaki,876,2074-04-16,2076-04-15,Maulakalika Hydropower Company Pvt. Ltd,"Purano Baneshwor, Kathmandu, 3851025301, 9813768555 ( Santosh Paudel)",84.335,27.72569444,Survey
159,Kalinchok Small,Province 3,DOLAKHA,Bigu,2.6,Budhekhani khola and Bhumithan,856,2074-03-18,2076-03-17,Himalayan Energy Pvt. Ltd.,"Kathmandu-34,",86.06027778,27.79875,Survey
160,Kapadigad,Province 7,KAILALI,Chure,3.3,Kapadigad,111,2070-09-14,2105-09-13,Salmanidevi Hydropower Pvt Ltd,"Dhunga Adda, Tinthana-7,KTM, 014316325",80.76736111,29.01041667,Generation
161,Karuwa Seti HEP,Province 4,KASKI,Madi,32.0,Seti,992,2074-12-25,2076-12-24,Jhyamolongma Hydropower Development Company Pvt. Ltd.,"kaski, Pokhara, 9849821564, 01-5520254,5543896,5012027",83.97777778,28.38916667,Survey
162,Kasuwa Khola HPP,Province 1,SANKHUWASABHA,Makalu,45.0,Kasuwa,213,2074-09-03,2109-09-02,Kasuwa Hydropower Ltd,"Tripureshwor, Kathmandu, Tel: 4101140, 4251080, email: info@kasuwakhola.com.np",87.28277778,27.60555556,Generation
164,Khani Khola,Province 3,LALITPUR,Bagmati,2.0,Khani Khola,85,2069-11-03,2104-11-02,Khani Khola Hydropower Company Ltd,"Baluwatar Kathmandu, P.O.Box 8975,Ph 01-4417220",85.29472222,27.49083333,Operation
165,Khani Khola (Dolakha),Province 3,DOLAKHA,Gaurishankar,30.0,Khani Khola,92,2070-02-10,2105-02-09,Sasha Engineering Hydropower P. Ltd,"Kuleshwor, P. O. Box: 8856, Kathmandu, Nepal. Ph: 4227646, 4220842, Mobile No.: 9851020234",86.30694444,27.80111111,Generation
166,Khani Khola - 1,Province 3,DOLAKHA,Gaurishankar,40.0,Khani Khola,46,2068-01-28,2103-01-27,"Green Life Energy Pvt.Ltd,Sirin Bhawan, Lalitpur-1, Kupakdole","P.O.Box 3970, Kathmandu, Phone 01-5010712,Fax- 5010694",86.35,27.81888889,Generation
167,Khani Khola Small HPP,Province 3,DOLAKHA,Gaurishankar,0.979,Khani Khola,0,2074-05-06,2074-05-05,"Dwarika prasad acharya,Syangbo Sherpa,Jalandhar Kafle","Bulung 2, Dolakha",86.10583333,27.61972222,Survey
168,Khare Hydropower Project,Province 3,DOLAKHA,Gaurishankar,24.1,Khare,122,2071-01-21,2106-01-20,Constorium Power Developers Pvt Ltd,"Sinamangal, Kathmandu, Tel; 4462856, fax: 4462856",86.26666667,27.78,Generation
171,Khimti -I,Province 3,DOLAKHA,Tamakoshi,60.0,Khimti Khola,1,2051-11-01,2101-10-29,Himal Power Limited,0,86.17555556,27.51319444,Operation
172,Khimti Ghwang Khola Small HPP,Province 3,DOLAKHA,Gaurishankar,9.8,Khimti Khola,852,2074-03-13,2076-03-12,Nil Ganga Hydrpower Company Pvt.Ltd.,"Suwidhanagar, Tinkune, Kathmandu-35 Ph. No. 01-4111853, 4111674",86.35347222,27.70097222,Survey
173,Khimti II,Province 3,DOLAKHA,Tamakoshi,48.8,Khimti Khola,179,2073-09-22,2108-09-21,Peoples Hydro sahakari Sastha Limited,"Shanti Nagar -34, Kathamandu, P.O.Box 10242, Phone 01-4781891, Fax 01-4781891",86.19861111,27.56944444,Generation
174,Khorunga Khola,Province 1,TERHATHUM,Menchayam,4.8,Khoranga Khola,87,2069-12-29,2104-12-28,Reliable Hydropower Company. P. Ltd,"P.O. Box: 516 , Khumaltar, Lalitpur, Nepal. Ph: 5550505",87.54486111,27.17097222,Generation
175,Khudi Khola,Province 4,LAMJUNG,Marsyangdi,4.0,Khudi,16,2061-11-13,2096-11-12,Khudi hydropower limited,0,84.34166667,28.29166667,Operation
176,Kimathanka Arun HEP,Province 1,SANKHUWASABHA,Bhotkhola,450.0,Arun,853,2074-03-13,2076-03-12,Vidhyut Utpadan Company Limited,Thapagaun kathmandu,87.43013889,27.79513889,Survey
177,Kingtang Khola Small HPP,Province 3,DHADING,Rubi Valley,4.0,Kingtang Khola,718,2073-01-14,2076-01-13,Vision Hydro And Elecrtric Pvt.Ltd.,"House no.267/95,Jankoshi,Banasthali-16,Kathmandu,4390229",84.99388889,28.02708333,Survey
178,Kisedi KHola HEP,Province 4,LAMJUNG,Dordi,0.998,Kisedi Khola,0,2074-05-06,2076-05-05,CEDB Hydropower Development Company Ltd..,"Bluestar complex, Tripureshwor, Kathmandu , Binay Kumar Bhandari 9851115387",84.51708333,28.20291667,Survey
179,Kisedi Khola Small HPP,Province 4,LAMJUNG,Dordi,4.6,Kisedi Khola,788,2073-11-24,2075-11-23,Ana Multipurpose Company Pvt.Ltd.,"kathmandu-4,Maharagunj,Kathmandu, Nepal. 4371748,9851168163,9851124993,9843176324",84.48416667,28.19694444,Survey
180,Kule Khani Third,Province 3,MAKAWANPUR,Bhimphedi,14.0,Kulekhani,24,2064-12-17,2099-12-16,Nepal Electricity Authority,0,85.04166667,27.4875,Generation
181,Kulekhani-I,Province 3,MAKAWANPUR,Indrasarowar,60.0,Kulekhani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,85.15986111,27.5825,Operation
182,Kulekhani-II,Province 3,MAKAWANPUR,Bhimphedi,32.0,Kulekhani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,85.09069444,27.51833333,Operation
183,Kunban Khola HPP,Province 4,MYAGDI,Dhaulagiri,8.2,Kunban,809,2074-01-17,2076-01-16,Sushmit Energy Pvt. Ltd.,"Kathmandu, Nepal, Phone no 01-5199073, 01-5199454, Sushil pokhrel 9851050406 , Email info@sushmitenergy.com",83.37222222,28.65,Survey
184,Kuwadi Khola Hydropower Project,Province 6,HUMLA,Tanjakot,9.6,Kuwadi,952,2074-08-12,2076-08-10,Reliable Hydropower Company Pvt. Ltd.,"Heritage Plaza-2, Kamaladi Kathmnadu-31, Ph. 4169116, 4169117, Post Box No. 516",81.70166667,29.65180556,Survey
185,Kyadusyo Khola Small HEP,Province 4,KASKI,Madi,4.5,Kyadusyo,961,2074-08-25,2076-08-24,J.P Hydropower Pvt. Ltd,"Kathmandu, 9851104303",84.1075,28.42722222,Survey
186,Ladku Khola Small HPP,Province 3,KABHREPALANCHOK,Dhulikhel,2.4,Ladku Khola,866,2074-03-27,2076-03-26,Roshi Valley Power Development P. Ltd.,"Anamnagar, 9851023025,4102570",85.53652778,27.53472222,Survey
187,Landruk Modi HEP,Province 4,KASKI,Machhapuchchhre,86.59,Modi Khola,822,2074-02-09,2076-02-08,Annapurna Bidhyut Bikas Company,"Baneshwor Kathmandu, Ram Prasad Acharya 9851145001",83.86166667,28.44569444,Survey
188,Langdi Khola Small HPP,Province 4,LAMJUNG,Dudhpokhari,4.0,Langdi,865,2074-03-23,2076-03-22,Ujyalo Nepal Hydro Pvt. Ltd.,Katmandu-04,84.6,28.18319444,Survey
189,Langtang Khola Small Hydropower Project,Province 3,RASUWA,Gosaikunda,10.0,Langtang,142,2072-06-01,2107-05-31,Multi Energy Development Pvt. Ltd.,"P.O.Box 10242 Kathmandu 10, Phone 01 4781891 email langtangkhola@gmail.com",85.35680556,28.1575,Generation
190,Lankhuwa Khola,Province 1,SANKHUWASABHA,Chichila,5.0,Lankhuwa,200,2074-03-28,2109-03-27,Sabhapokhri Hydropower Pvt Ltd,"P.O. Box. 13901, Kusanti, Lalitpur, Tel: 9849447747",87.29583333,27.43541667,Generation
191,Lantang Khola Reservoir Hydropower Project,Province 3,RASUWA,Gosaikunda,310.0,Langtang,780,2073-09-25,2075-09-24,Yeti \world Investment Pvt. Ltd.,"Tilganga, Ringroad, Kathmandu. P.O.Box no. 8643 Ph. No. 4465888 Fax. 4465388 mobile no. 9843421881 (Manoj Malla)",85.43763889,28.18125,Survey
192,Lapche Khola,Province 3,DOLAKHA,Bigu,160.0,Lapche,212,2074-09-02,2109-09-01,Nasa Hydropower Company P Ltd,"Laxman Babu Bhawan, Naxal, Kathmandu, Phone no 4414355, 4414651, 9801012101, email: info@mvdugarhydro.com",86.19138889,28.01513889,Generation
193,Lapche- Tamakoshi HEP,Province 3,DOLAKHA,Bigu,22.0,"Lapche, Tamakoshi",985,2074-11-13,2076-11-12,Dynamic Hydro Energy Pvt. Ltd,"Lazimpat, Kathmandu",86.21597222,27.97375,Survey
194,Likhu -1,Province 1,SOLUKHUMBU,Likhupike,77.0,Likhu Khola,145,2072-06-22,2107-06-21,Pan Himay Energy Pvt. Ltd,"Ph. 01-4244352, 1815/105 Kantipath, Kathmandu",86.45,27.63819444,Generation
195,Likhu -2,Province 1,SOLUKHUMBU,Likhupike,55.0,Likhu Khola,146,2072-06-22,2107-06-21,Global Hydropower Associate Pvt. Ltd,"Kantipath, Kathmandu, Phone no 4225009",86.40597222,27.58736111,Generation
196,Likhu Khola 'A',Province 1,SOLUKHUMBU,Likhupike,51.0,Likhu Khola,148,2072-07-16,2107-07-15,Numbur Himalaya Hydropower Pvt. Ltd,"P.O.Box 4286 Kathmandu, Phone 014478774",86.37152778,27.54458333,Generation
197,Likhu-4,Province 3,RAMECHHAP,Gokulganga,52.4,Likhu Khola,59,2068-11-28,2098-11-27,Green Ventures Pvt. Ltd,"P.O.Box 772, Triveni Complex Putalisadak kathmandu, Ph 5544736",86.29166667,27.45819444,Generation
198,Liping Khola,Province 3,SINDHUPALCHOK,Bhotekoshi,16.26,Liping,164,2073-04-12,2108-04-11,Him River Power Pvt. Ltd,"RR Complex, 4th Floor, Narayan Chaur, Naxal, Kathmandu; Tel: 4441535, Fax: 44435714; P.O. Box: 3797",85.95194444,27.97930556,Generation
199,Lodo Khola Small HEP,Province 4,LAMJUNG,Dordi,1.73,Lodo Khola,841,2074-02-26,2076-02-26,Liberty Energy Company Ltd.,"Thapathali Kathmandu, Atmaram Ghimire 01-4238241",84.53763889,28.26694444,Survey
200,Lohare Khola,Province 6,KALIKOT,Mahawai,4.2,Lohore Khola,105,2070-06-08,2105-06-07,"Lohare Khola Hydropower Co. P. L.,","Anamnagar, Kathmandu, POBox 5558, Phone 9841461609",81.80527778,28.90597222,Generation
201,Lomsa HEP,Province 3,RAMECHHAP,Umakunda,1.1,Dhamile- Ghatte,910,2074-06-18,2076-06-17,Pathibhara Hydropower Pvt. Ltd,"Kathmandu, 9851023429",86.32583333,27.68694444,Survey
202,Lower Balephi,Province 3,SINDHUPALCHOK,Barhabise,20.0,Balephi,881,2074-04-25,2076-04-24,Sajha Power Development,"Buddanagar-10, Kathmandu",85.76180556,27.78361111,Survey
203,Lower Barun Khola HPP,Province 1,SANKHUWASABHA,Bhotkhola,132.0,Barun Khola,681,2071-03-12,2075-03-11,Ampik Energy Pvt Ltd,"Sinamangal,Kathmandu , Tel: 5010505,016211581",87.33541667,27.70666667,Survey
204,Lower Bhim Khola HPP,Province 4,BAGLUNG,Galkot,3.6,Bhim Khola,811,2074-01-22,2076-02-21,Shikhar Power Development Pvt. Ltd.,"Kathmandu-35, Prakash Baral, Mob. No. 9851133303",83.20513889,28.28986111,Survey
205,Lower Bom Khola HPP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,0.184,Bom Khola,0,2074-04-12,2076-04-11,Lukla Surke Laghu Jalabidhut Upobhokta Samiti,"Chaurikharka, Solukhumbu",86.72361111,27.67847222,Survey
206,Lower Chaku Khola,Province 3,SINDHUPALCHOK,Bhotekoshi,1.8,Chaku,26,2065-05-09,2100-05-08,Laughing Buddha Power Nepal Pvt. Ltd,0,85.91833333,27.88597222,Operation
207,Lower Charnawati,Province 3,DOLAKHA,Kalinchok,6.4,Charnawati,706,2072-06-18,2075-06-17,Nepal Hydro Developer Pvt. Ltd,"Dillibazar, Kathamdnu 9851132428.PO no.26435",86.05777778,27.62347222,Survey
209,Lower Chirkhuwa,Province 1,SANKHUWASABHA,Khandbari,4.06,Chirkhuwa,196,2074-02-22,2109-02-21,Chirkhuwa Hydropowerr Pvt. Ltd.,"P.O.Box 19387, Kathmandu, Phone 01-4770297",87.12527778,27.37930556,Generation
210,Lower Dudkunda HPP,Province 1,SOLUKHUMBU,Dudhkoshi,6.0,Dudh Kunda,874,2074-04-15,2076-04-14,Rakam Chemjung,"Bauddha-6, Kathmandu 9851114505",86.59305556,27.56666667,Survey
211,Lower Hewa,Province 1,PANCHTHAR,Phidim,21.6,Hewa Khola,99,2070-04-09,2105-04-08,Mountain Hydro Nepal (P.) Ltd,"P.O. Box: 3970, New Baneshwor, Kathmandu, Nepal. Ph: 015525184, 4299844, Fax 01-5525184",87.75638889,27.16,Generation
212,Lower Hewa Khola-A HPP,Province 1,SANKHUWASABHA,Sabhapokhari,7.3,Hewa Khola,722,2073-03-05,2076-03-04,Panch Khapan Hydropower P.Ltd.,"Kathmandu-34, Banesor,Nepal,016201315,4116068,panchkhapan hydropower2072@gmail.com",87.29458333,27.30805556,Survey
213,Lower Iguwa Khola Hydro-Electric Project,Province 1,TAPLEJUNG,Sidingba,6.9,Iwa Khola,846,2074-02-26,2076-02-25,"Sri Ram Neupane & Srijana Khadka,",Bharatpur-4 Chitwan & Baneshwor-1 Kathmandu Respectively,87.86888889,27.28125,Survey
214,Lower Irkhuwa Khola,Province 1,SANKHUWASABHA,Chichila,14.15,Irkhuwa Khola,219,2074-10-23,2109-10-23,Lower Irkhuwa HP Co PL,"Ghattekulo Kathmandu 32, P.O.Box. 19387, Phone 01-5172685, email: irkhuwa@gmail.com",87.11402778,27.41555556,Generation
215,Lower Isuwa Khola HPP,Province 1,SANKHUWASABHA,Bhotkhola,37.7,Isuwa Khola,815,2074-02-01,2076-01-31,Sonam Lama Shrestha,"Bouddha-6, Kathmandu P>O 2534, 9818785021",87.25027778,27.55833333,Survey
216,Lower Jhyari Khola Small HPP,Province 3,SINDHUPALCHOK,Jugal,2.5,Jhyari Khola,741,2073-06-09,2075-06-08,Electrocom and Research Center Ltd,"Baneshowe-10, Kathmandu 9851133303",85.67930556,27.73541667,Survey
217,Lower Jogmai Khola HPP,Province 1,ILAM,Suryodaya,6.2,Jogmai Khola,787,2073-11-24,2075-11-23,Asian Hydropower Pvt. Ltd,"Kathmandu-10 New Baneshwor, P.O. Box 9879, 4491882,4470887, 9851018025",87.97722222,26.89111111,Survey
218,Lower Kalanga Gad Hydroelectric Project,Province 7,BAJHANG,Bungal,8.0,Kalanga Gad,754,2073-08-08,2075-08-07,Bagthala Hydro Pvt.ltd.,"Central Business Park ,Thapathali,kathamndu,",80.89111111,29.49583333,Survey
220,Lower Khare,Province 3,DOLAKHA,Gaurishankar,11.0,Khare,64,2069-03-19,2104-03-18,Universal Power Company P. Ltd,"Thapathali KTM, POB : 13961, Ph no: 014261827, 4252216",86.21208333,27.75597222,Generation
221,Lower Khorunga,Province 1,TERHATHUM,Phedap,5.5,Khoranga Khola,165,2073-04-12,2108-04-11,IDS Energy Pvt. Ltd,"Heritedge Plaza, Kathmandu, Phone no 4169116, 4169117, Fax no 4169118, Emai info@idsenergy.com",87.55861111,27.14041667,Generation
222,Lower Likhu,Province 3,RAMECHHAP,Umakunda,28.1,Likhu Khola,154,2072-12-28,2107-12-27,Swaita Ganga Hydropower and Construction Pvt. Ltd.,"P.O.Box. 439, Naxal, Kathmandu, Phone 01-4415314, 4446442, Fax 01-44412777",86.24097222,27.40513889,Generation
223,Lower Melamchi HEP,Province 3,SINDHUPALCHOK,Helambu,4.0,Melamchi,1013,2075-02-16,2077-02-15,Gugeshwori Energy Pvt. Ltd,"Bajramarga, Baudhha Kathmandu",85.53888889,27.98125,Survey
224,Lower Mid Rawa Khola HEP,Province 1,KHOTANG,Kepilasagadhi,3.64,Rawa,997,2074-12-29,2076-12-28,"Lokraj Sharma, Shambhu Prasad Ghimire, Satya Narayan Prajapati",Bhaktapur,86.80013889,27.34166667,Survey
226,Lower Modi Khola,Province 4,PARBAT,Modi,20.0,Modi Khola,38,2067-05-21,2102-05-20,Modi Energy Pvt . Ltd,"Naxal Sanogaucharan, Tel: 4441131, Fax: 4441973",83.72680556,28.25361111,Generation
227,Lower Modi-II Cascade HPP,Province 4,PARBAT,Kushma,10.5,Modi Khola,195,2074-02-09,2109-02-08,United Modi Hydropower Pvt Ltd,"BYS Complex, Kathmandu, Tel: 4350147 Fax: 4350379, email: unitedmodi@ntc.nt.np",83.68791667,28.21027778,Generation
228,Lower Nyadi HPP,Province 4,LAMJUNG,Marsyangdi,10.5,Nyadi,855,2074-03-15,2076-03-14,Hub Power Pvt. Ltd,"Ka. Ma. Na. Pa-1, Kathmandu",84.4125,28.31875,Survey
230,Lower Rukumgad HEP,Province 5,RUKUM_E,Putha Uttarganga,5.25,Rukum gad,972,2074-09-20,2076-09-19,Kasuwa Khola Hydropower Ltd.,"Tripureshwor-11, Kathmandu, 01-4251080, 9852680194",82.63263889,28.62361111,Survey
231,Lower Rupse Khola HEP,Province 4,MUSTANG,Thasang,2.5,Rupse,990,2074-12-13,2076-12-12,Gulmi Hydro Pvt. Ltd,"Anamnagar, Kathmandu",83.64361111,28.54944444,Survey
232,Lower Selang Khola,Province 3,SINDHUPALCHOK,Jugal,1.475,Selang,208,2074-06-29,2109-06-28,Sewa Hydrolink Company,"Tangal, Kathmandu : 4410160",85.74194444,27.85944444,Generation
233,Lower Seti (Tanahu) HEP,Province 4,TANAHU,Devghat,92.0,Seti,930,2074-07-13,2076-07-12,Tanahu Hydropower Limited,"Trade Tower 4th Floor,Thapathali, KTM, Ph- 01-5111117/8/9",84.385,27.85416667,Survey
234,Lower Solu Hydropower Project,Province 1,SOLUKHUMBU,Dudhkoshi,82.0,Solu Khola,118,2070-12-05,2105-12-04,Essel Clean Solu Hydropower Pvt Ltd,"R R Bhavan, Narayanchaur, Kathmandu, Tel; 4261827, Fax: 4260266",86.60069444,27.42916667,Generation
235,Lower Tadi,Province 3,NUWAKOT,Tadi,4.993,Tadi Khola,88,2069-12-27,2104-12-26,Buddha Bhumi Nepal Hydropower Co. Pvt. ltd.,"Kantipath Kathmandu, Phone 01-4248228, Fax 01-4244474",85.36638889,27.92291667,Generation
236,Lower Tawakhola HEP,Province 1,TAPLEJUNG,Sidingba,8.0,Tawa Khola,982,2074-11-11,2076-11-10,Kabeli Hydropower Company Pvt. Ltd,"Baagbazaar, Kathmandu, Mohan Kumari Dangi: 9851030667, 01-4240661",87.87569444,27.36291667,Survey
237,Lower Thulo Khola Hydropower Project,Province 4,MUSTANG,Thasang,4.75,Thulo Khola,858,2074-03-15,2076-03-14,Chitwan Energy Limited,"Kupondole Lalitpur, Ph. No. 9851166725 (Subhash Chandra Baral)",83.51541667,28.53555556,Survey
239,Luja Khola HPP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,24.8,Luja Khola,943,2074-07-28,2076-07-27,Ma Shakti Engineering and Hydropower Pvt.Ltd.,"Gatthaghar, Bhaktapur, Phone no. 6635391",86.69166667,27.67361111,Survey
240,Lung Khola HPP,Province 5,PYUTHAN,Gaumukhi,2.42,Lung Khola,914,2074-06-30,2076-06-29,Gaumukhi Nubaini Hydro Pvt. Ltd.,"Puyathan, Phone no 9857833632",82.91513889,28.21013889,Survey
241,Machhapuchhre Modi HEP,Province 4,KASKI,Machhapuchchhre,24.6,Modi,1019,2075-03-06,2077-03-05,Annapurna Energy Company Pvt. Ltd,Kathmandu.,83.90208333,28.50208333,Survey
242,Machhe Khola HPP,Province 4,GORKHA,Dharche,18.0,Machha Khola,801,2073-12-29,2075-12-28,Water Energy Development Pvt. Ltd.,"Baluwatar 4, Ktm. ph. no. 4430050",84.85083333,28.22347222,Survey
243,Madhya Bhotekoshi,Province 3,SINDHUPALCHOK,Bhotekoshi,102.0,Bhote koshi,108,2070-08-18,2105-08-17,Madhya Bhotekoshi Jalbidyut Company Ltd.,"Maharajganj Kathmandu, P.O.Box. 23599, Phone 01-4721641, 4721642, Fax 01-4721643",85.88777778,27.85111111,Generation
244,Madhya Marsyangdi,Province 4,LAMJUNG,Besishahar,70.0,Marsyangdi,8,2057-03-12,2106-01-31,Nepal Electricity Authority,0,84.42625,28.16805556,Operation
245,Madi-Bhorletar,Province 4,LAMJUNG,Besishahar,10.0,Madi Khola,171,2073-06-10,2108-06-09,Kalash Hydropower P. Ltd,"Baluwatar, Kathmandu, Phone no 4444797, 9851138808",84.2225,28.14875,Generation
